Epoch 0/100, Test Loss: 1.0051566898822784
Epoch 1/100, Train Loss: 0.8222573934769144, Test Loss: 0.5445561230182647
Epoch 2/100, Train Loss: 0.4948466918906387, Test Loss: 0.4840277284383774
Epoch 3/100, Train Loss: 0.47557165549725905, Test Loss: 0.4705104112625122
Epoch 4/100, Train Loss: 0.4714274552403664, Test Loss: 0.47482495903968813
Epoch 5/100, Train Loss: 0.4679260415082075, Test Loss: 0.44926360845565794
Epoch 6/100, Train Loss: 0.46118535223055857, Test Loss: 0.46422181725502015
Epoch 7/100, Train Loss: 0.4600418158331696, Test Loss: 0.4512477904558182
Epoch 8/100, Train Loss: 0.45589654178035505, Test Loss: 0.45374836921691897
Epoch 9/100, Train Loss: 0.4539351809997948, Test Loss: 0.45542192459106445
Epoch 10/100, Train Loss: 0.45862361393412765, Test Loss: 0.4546982944011688
Epoch 11/100, Train Loss: 0.45527766888238946, Test Loss: 0.45997258126735685
Epoch 12/100, Train Loss: 0.45667133799621035, Test Loss: 0.45145347714424133
Epoch 13/100, Train Loss: 0.45238465374829817, Test Loss: 0.4526094704866409
Epoch 14/100, Train Loss: 0.45258433326166503, Test Loss: 0.45459802746772765
Epoch 15/100, Train Loss: 0.4498691266896773, Test Loss: 0.45422517955303193
Epoch 16/100, Train Loss: 0.44793788480515384, Test Loss: 0.437742480635643
Epoch 17/100, Train Loss: 0.4455968710232754, Test Loss: 0.45076538622379303
Epoch 18/100, Train Loss: 0.44449481732991275, Test Loss: 0.44392697513103485
Epoch 19/100, Train Loss: 0.4466496015689811, Test Loss: 0.45044210851192473
Epoch 20/100, Train Loss: 0.44291714654893294, Test Loss: 0.4478946655988693
Epoch 21/100, Train Loss: 0.4386071581013349, Test Loss: 0.4427232414484024
Epoch 22/100, Train Loss: 0.43632858292180665, Test Loss: 0.4351017326116562
Epoch 23/100, Train Loss: 0.4405657825421314, Test Loss: 0.4349518597126007
Epoch 24/100, Train Loss: 0.4379081750402645, Test Loss: 0.4465667396783829
Epoch 25/100, Train Loss: 0.43734203248607867, Test Loss: 0.42531685829162597
Epoch 26/100, Train Loss: 0.43583125545054063, Test Loss: 0.4225373327732086
Epoch 27/100, Train Loss: 0.436787621403227, Test Loss: 0.43292061388492586
Epoch 28/100, Train Loss: 0.4358709354181679, Test Loss: 0.4351264268159866
Epoch 29/100, Train Loss: 0.43497926270475196, Test Loss: 0.4370749264955521
Epoch 30/100, Train Loss: 0.435547191573649, Test Loss: 0.44317514896392823
Epoch 31/100, Train Loss: 0.4360239785544726, Test Loss: 0.4298500090837479
Epoch 32/100, Train Loss: 0.43250980060927724, Test Loss: 0.4370699256658554
Epoch 33/100, Train Loss: 0.4356662877360169, Test Loss: 0.4276775300502777
Epoch 34/100, Train Loss: 0.42848546742176524, Test Loss: 0.4360408067703247
Epoch 35/100, Train Loss: 0.4327122055146159, Test Loss: 0.4440528452396393
Epoch 36/100, Train Loss: 0.43036514368592477, Test Loss: 0.42137018144130706
Epoch 37/100, Train Loss: 0.43210564705790305, Test Loss: 0.4338527500629425
Epoch 38/100, Train Loss: 0.42746586398202546, Test Loss: 0.4341399252414703
Epoch 39/100, Train Loss: 0.42926702937301325, Test Loss: 0.42743828892707825
Epoch 40/100, Train Loss: 0.4318863974542034, Test Loss: 0.43906453251838684
Epoch 41/100, Train Loss: 0.4310713872617605, Test Loss: 0.43316262662410737
