q2
Unet_model.pth
Epoch 0/60, Test Loss: 1.2614643812179565
Epoch 1/60, Train Loss: 0.11718724683231237, Test Loss: 0.20845915339887142
Epoch 2/60, Train Loss: 0.03573882503777134, Test Loss: 0.14713534899055958
Epoch 3/60, Train Loss: 0.027327758355104193, Test Loss: 0.12230815459042788
Epoch 4/60, Train Loss: 0.022476819743003165, Test Loss: 0.10859567988663912
Epoch 5/60, Train Loss: 0.021234826279842123, Test Loss: 0.12328087911009789
Epoch 6/60, Train Loss: 0.020741272185529982, Test Loss: 0.09276525396853685
Epoch 7/60, Train Loss: 0.018768570214814068, Test Loss: 0.09421172700822353
Epoch 8/60, Train Loss: 0.018505285589062438, Test Loss: 0.08910512514412403
Epoch 9/60, Train Loss: 0.01877179103238242, Test Loss: 0.08912931419909001
Epoch 10/60, Train Loss: 0.017934945583039402, Test Loss: 0.08513032644987106
Epoch 11/60, Train Loss: 0.017056575539160748, Test Loss: 0.08542884029448032
Epoch 12/60, Train Loss: 0.016767723105695784, Test Loss: 0.08187538050115109
Epoch 13/60, Train Loss: 0.016451026788171456, Test Loss: 0.08343532038852572
Epoch 14/60, Train Loss: 0.015868795579489395, Test Loss: 0.07589272689074278
Epoch 15/60, Train Loss: 0.015500072047722583, Test Loss: 0.07657908881083131
Epoch 16/60, Train Loss: 0.016056646992053305, Test Loss: 0.0764157697558403
Epoch 17/60, Train Loss: 0.015110001177051845, Test Loss: 0.07845764867961406
Epoch 18/60, Train Loss: 0.015070215399776186, Test Loss: 0.0738157544285059
Epoch 19/60, Train Loss: 0.015393391175537693, Test Loss: 0.07415716089308262
Epoch 20/60, Train Loss: 0.014784886349676823, Test Loss: 0.07684097848832608
Epoch 21/60, Train Loss: 0.015273083476539778, Test Loss: 0.0720741931349039
Epoch 22/60, Train Loss: 0.01491707939730615, Test Loss: 0.07948504593223334
Epoch 23/60, Train Loss: 0.014863205560464032, Test Loss: 0.07374044451862574
Epoch 24/60, Train Loss: 0.015241627505391228, Test Loss: 0.07550039263442158
Epoch 25/60, Train Loss: 0.014923202292043336, Test Loss: 0.07373359790071846
Epoch 26/60, Train Loss: 0.014019782322325878, Test Loss: 0.06986203501001001
Epoch 27/60, Train Loss: 0.014241740297602147, Test Loss: 0.06747999368235469
Epoch 28/60, Train Loss: 0.014494952555669814, Test Loss: 0.07160899117588997
Epoch 29/60, Train Loss: 0.014278941426654252, Test Loss: 0.06799254156649112
Epoch 30/60, Train Loss: 0.014710202794141916, Test Loss: 0.07095995573326945
Epoch 31/60, Train Loss: 0.01380461469596746, Test Loss: 0.06792538808658719
Epoch 32/60, Train Loss: 0.01445411445991117, Test Loss: 0.07041140710934997
Epoch 33/60, Train Loss: 0.01379898582033965, Test Loss: 0.0711143121123314
Epoch 34/60, Train Loss: 0.01392396788435931, Test Loss: 0.06735049476847052
Epoch 35/60, Train Loss: 0.013928632365957814, Test Loss: 0.07219891715794802
Epoch 36/60, Train Loss: 0.0143286404484997, Test Loss: 0.06908725621178746
Epoch 37/60, Train Loss: 0.013871684879520717, Test Loss: 0.0670800325460732
Epoch 38/60, Train Loss: 0.014534270732986684, Test Loss: 0.06526249665766955
Epoch 39/60, Train Loss: 0.013896604030564124, Test Loss: 0.06819280162453652
Epoch 40/60, Train Loss: 0.01358847407510086, Test Loss: 0.06747619435191154
Epoch 41/60, Train Loss: 0.014289411469077577, Test Loss: 0.06837733127176762
Epoch 42/60, Train Loss: 0.013537808435455876, Test Loss: 0.06749120494350791
Epoch 43/60, Train Loss: 0.013796194513537446, Test Loss: 0.06926923049613834
Epoch 44/60, Train Loss: 0.014070565337125135, Test Loss: 0.06595346368849278
Epoch 45/60, Train Loss: 0.013568363760655023, Test Loss: 0.06521222996525466
Epoch 46/60, Train Loss: 0.013358976254809876, Test Loss: 0.06711820000782609
Epoch 47/60, Train Loss: 0.013813258585881213, Test Loss: 0.06833288427442312
Epoch 48/60, Train Loss: 0.013511272622462439, Test Loss: 0.06805979842320084
Epoch 49/60, Train Loss: 0.013424724473484926, Test Loss: 0.06766248047351837
Epoch 50/60, Train Loss: 0.013627018133292392, Test Loss: 0.0678568722680211
Epoch 51/60, Train Loss: 0.013420531583227674, Test Loss: 0.067151880543679
Epoch 52/60, Train Loss: 0.013480898905165342, Test Loss: 0.06651067966595292
Epoch 53/60, Train Loss: 0.013156656099825489, Test Loss: 0.06690869685262442
Epoch 54/60, Train Loss: 0.013399504866374999, Test Loss: 0.06746752308681607
Epoch 55/60, Train Loss: 0.013139669460301496, Test Loss: 0.06507847523316741
Epoch 56/60, Train Loss: 0.013827217324655883, Test Loss: 0.06633275309577584
Epoch 57/60, Train Loss: 0.013280991902004699, Test Loss: 0.06593171469867229
Epoch 58/60, Train Loss: 0.013543348341267936, Test Loss: 0.06549056889489294
Epoch 59/60, Train Loss: 0.013490083589389617, Test Loss: 0.06519206603989006
Epoch 60/60, Train Loss: 0.013572966166752942, Test Loss: 0.06588444355875253

Epoch 0/60, Test Loss: 1.2143007069826126
Epoch 0/0, Test Loss: 0.06580992778763176
Epoch 0/0, Test Loss: 0.06604578327387571
