q3_b 第一次训练
Epoch 0/60, Test Loss: 1.3604117333889008
Epoch 1/60, Train Loss: 1.0175038609577685, Test Loss: 0.978410878777504
Epoch 2/60, Train Loss: 0.6289629537840279, Test Loss: 0.4454508811235428
Epoch 3/60, Train Loss: 0.4351675335545929, Test Loss: 0.4403322860598564
Epoch 4/60, Train Loss: 0.42359663089927363, Test Loss: 0.4199014976620674
Epoch 5/60, Train Loss: 0.41977446085336256, Test Loss: 0.41433660462498667
Epoch 6/60, Train Loss: 0.4143311969783841, Test Loss: 0.41171337738633157
Epoch 7/60, Train Loss: 0.41155247739991363, Test Loss: 0.41102875098586084
Epoch 8/60, Train Loss: 0.4053412916100755, Test Loss: 0.4073900610208511
Epoch 9/60, Train Loss: 0.40308566543520713, Test Loss: 0.40468998476862905
Epoch 10/60, Train Loss: 0.40237412039114506, Test Loss: 0.39826799258589746
Epoch 11/60, Train Loss: 0.399866413249045, Test Loss: 0.3999177783727646
Epoch 12/60, Train Loss: 0.3991283715075376, Test Loss: 0.3973692454397678
Epoch 13/60, Train Loss: 0.3964481435868205, Test Loss: 0.3945997215807438
Epoch 14/60, Train Loss: 0.39666616445293235, Test Loss: 0.3969114743173122
Epoch 15/60, Train Loss: 0.39284795233789754, Test Loss: 0.392818046361208
Epoch 16/60, Train Loss: 0.3944227909859346, Test Loss: 0.3959049269556999
Epoch 17/60, Train Loss: 0.39332893429970256, Test Loss: 0.39206805676221845
Epoch 18/60, Train Loss: 0.3889648205771738, Test Loss: 0.3883647955954075
Epoch 19/60, Train Loss: 0.3926536773844641, Test Loss: 0.39486016482114794
Epoch 20/60, Train Loss: 0.39094537815877367, Test Loss: 0.39409655779600145
Epoch 21/60, Train Loss: 0.3863772451877594, Test Loss: 0.3939039193093777
Epoch 22/60, Train Loss: 0.3892983157111674, Test Loss: 0.3960795156657696
Epoch 23/60, Train Loss: 0.3873944492364416, Test Loss: 0.38870725631713865
Epoch 24/60, Train Loss: 0.38432303603206364, Test Loss: 0.38756111860275266
Epoch 25/60, Train Loss: 0.3836243885512255, Test Loss: 0.39096017479896544
Epoch 26/60, Train Loss: 0.3824381160796905, Test Loss: 0.3815756760537624
Epoch 27/60, Train Loss: 0.3825410478273217, Test Loss: 0.38295536786317824
Epoch 28/60, Train Loss: 0.38213199437881, Test Loss: 0.38344011530280114
Epoch 29/60, Train Loss: 0.3829770030415788, Test Loss: 0.38481652140617373
Epoch 30/60, Train Loss: 0.3789938603128706, Test Loss: 0.3856212332844734
Epoch 31/60, Train Loss: 0.380209783510286, Test Loss: 0.3862375997006893
Epoch 32/60, Train Loss: 0.38011651288489906, Test Loss: 0.382497289031744
Epoch 33/60, Train Loss: 0.37774474523505386, Test Loss: 0.3819322794675827
Epoch 34/60, Train Loss: 0.3741307959568744, Test Loss: 0.38083790242671967
Epoch 35/60, Train Loss: 0.3782865294084257, Test Loss: 0.38441835567355154
Epoch 36/60, Train Loss: 0.37468910658237886, Test Loss: 0.3827688470482826
Epoch 37/60, Train Loss: 0.3721457453710692, Test Loss: 0.37703924253582954
Epoch 38/60, Train Loss: 0.3732771896282021, Test Loss: 0.37799183949828147
Epoch 39/60, Train Loss: 0.3726510110558296, Test Loss: 0.3792982414364815
Epoch 40/60, Train Loss: 0.3728959469162688, Test Loss: 0.3777053885161877
Epoch 41/60, Train Loss: 0.3712549623177976, Test Loss: 0.3863490134477615
Epoch 42/60, Train Loss: 0.37281629199884375, Test Loss: 0.38020750880241394
Epoch 43/60, Train Loss: 0.3723531500721464, Test Loss: 0.38486443385481833
Epoch 44/60, Train Loss: 0.36879887051728305, Test Loss: 0.373269721865654
Epoch 45/60, Train Loss: 0.3703299268167846, Test Loss: 0.3818981371819973
