scale_factor = 1.046503
Dit_model
Epoch 0/60, Test Loss: 1.4234717667102814
Epoch 1/60, Train Loss: 1.0222407625037797, Test Loss: 0.9997679576277733
Epoch 2/60, Train Loss: 0.7364314449380855, Test Loss: 0.502141859382391
Epoch 3/60, Train Loss: 0.4806440303824386, Test Loss: 0.482863699644804
Epoch 4/60, Train Loss: 0.46697561853394215, Test Loss: 0.4657286688685417
Epoch 5/60, Train Loss: 0.45982177677203195, Test Loss: 0.4594940714538097
Epoch 6/60, Train Loss: 0.4535120698262234, Test Loss: 0.4550321131944656
Epoch 7/60, Train Loss: 0.4492362529343488, Test Loss: 0.44875785410404206
Epoch 8/60, Train Loss: 0.4517267779732237, Test Loss: 0.4529169000685215
Epoch 9/60, Train Loss: 0.44551683384544993, Test Loss: 0.4497541032731533
Epoch 10/60, Train Loss: 0.4457378854252854, Test Loss: 0.4387019701302052
Epoch 11/60, Train Loss: 0.4448705647064715, Test Loss: 0.4455816946923733
Epoch 12/60, Train Loss: 0.44114677744860553, Test Loss: 0.4426604226231575
Epoch 13/60, Train Loss: 0.43867281383397627, Test Loss: 0.44461766704916955
Epoch 14/60, Train Loss: 0.43930052676979375, Test Loss: 0.4406832493841648
Epoch 15/60, Train Loss: 0.43823808963809696, Test Loss: 0.4376312278211117
Epoch 16/60, Train Loss: 0.4356139329623203, Test Loss: 0.4353879034519196
Epoch 17/60, Train Loss: 0.4343245327472687, Test Loss: 0.4359260782599449
Epoch 18/60, Train Loss: 0.43433987136398045, Test Loss: 0.4328137941658497
Epoch 19/60, Train Loss: 0.4312266369863432, Test Loss: 0.4318795666098595
Epoch 20/60, Train Loss: 0.43160722039792004, Test Loss: 0.4398895166814327
Epoch 21/60, Train Loss: 0.43281174709602277, Test Loss: 0.4359245993196964
Epoch 22/60, Train Loss: 0.42800543396448604, Test Loss: 0.42857843860983846
Epoch 23/60, Train Loss: 0.42904153663893135, Test Loss: 0.4351427912712097
Epoch 24/60, Train Loss: 0.4264015880774479, Test Loss: 0.4294853135943413
Epoch 25/60, Train Loss: 0.4254337050476853, Test Loss: 0.426880370080471
Epoch 26/60, Train Loss: 0.4294206297823361, Test Loss: 0.42826585173606874
Epoch 27/60, Train Loss: 0.4242946593737116, Test Loss: 0.4313688658177853
Epoch 28/60, Train Loss: 0.4208272973797759, Test Loss: 0.42756012082099915
Epoch 29/60, Train Loss: 0.42258810191130153, Test Loss: 0.42344733998179435
Epoch 30/60, Train Loss: 0.42210225532857737, Test Loss: 0.42456817999482155
Epoch 31/60, Train Loss: 0.4199551787911629, Test Loss: 0.426087686419487
Epoch 32/60, Train Loss: 0.4208762914854653, Test Loss: 0.41813288182020186
Epoch 33/60, Train Loss: 0.41640040506513754, Test Loss: 0.4186147592961788
Epoch 34/60, Train Loss: 0.4183286743200555, Test Loss: 0.42339434027671813
Epoch 35/60, Train Loss: 0.41856688443495305, Test Loss: 0.4230736143887043
Epoch 36/60, Train Loss: 0.41748901988778797, Test Loss: 0.4179392077028751
Epoch 37/60, Train Loss: 0.41662100231160926, Test Loss: 0.4187401756644249
Epoch 38/60, Train Loss: 0.4162929106731804, Test Loss: 0.41659664139151575
